label,id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,time_interval,same_id_time_interval
BENIGN,2017,2,1,73,85,85,85,85,85,0.015182999999999947,0.015182999999999947
BENIGN,2016,0,65,73,159,0,-1,-1,-1,0.0019689999999999985,0.0019689999999999985
BENIGN,2021,2,1,246,85,85,85,85,85,0.002010999999999985,0.002010999999999985
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019620000000000193,0.0019620000000000193
BENIGN,2019,2,1,17,85,85,85,85,85,0.0020580000000000043,0.0020580000000000043
BENIGN,2018,0,65,17,158,-1,-1,-1,-1,0.001851000000000047,0.001851000000000047
BENIGN,2017,2,1,73,85,85,85,85,85,0.01600899999999994,0.01600899999999994
BENIGN,2016,0,65,73,158,0,-1,-1,-1,0.0010070000000000912,0.0010070000000000912
BENIGN,2021,2,1,246,85,85,85,85,85,0.00299499999999997,0.00299499999999997
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019339999999999913,0.0019339999999999913
BENIGN,2019,2,1,13,85,85,85,85,85,0.0021860000000000213,0.0021860000000000213
BENIGN,2018,0,65,13,158,-1,-1,-1,-1,0.0019599999999999618,0.0019599999999999618
BENIGN,2017,2,1,73,85,85,85,85,85,0.015915000000000012,0.015915000000000012
BENIGN,2016,0,65,73,156,0,-1,-1,-1,0.0019399999999999418,0.0019399999999999418
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020130000000000425,0.0020130000000000425
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.001998999999999973,0.001998999999999973
BENIGN,2025,2,1,244,85,85,85,85,85,0.001056000000000057,0.001056000000000057
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.0019339999999999913,0.0019339999999999913
BENIGN,2017,2,1,73,85,85,85,85,85,0.01717499999999994,0.01717499999999994
BENIGN,2016,0,65,73,155,0,-1,-1,-1,0.0009560000000000679,0.0009560000000000679
BENIGN,2021,2,1,246,85,85,85,85,85,0.002970000000000028,0.002970000000000028
BENIGN,2023,2,1,245,85,85,85,85,85,0.002018999999999993,0.002018999999999993
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.00017400000000000748,0.00017400000000000748
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.0008389999999999231,0.0008389999999999231
BENIGN,2017,2,1,73,85,85,85,85,85,0.019028000000000045,0.019028000000000045
BENIGN,2016,0,65,73,154,0,-1,-1,-1,0.001958999999999933,0.001958999999999933
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020370000000000665,0.0020370000000000665
BENIGN,2019,2,1,17,85,85,85,85,85,0.0010179999999999634,0.0010179999999999634
BENIGN,2018,0,65,17,153,-1,-1,-1,-1,0.0009689999999999976,0.0009689999999999976
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.00017800000000001148,0.00017800000000001148
BENIGN,2017,2,1,73,85,85,85,85,85,0.019838000000000022,0.019838000000000022
BENIGN,2016,0,65,73,152,0,-1,-1,-1,0.0009970000000000256,0.0009970000000000256
BENIGN,2021,2,1,246,85,85,85,85,85,0.0030279999999999196,0.0030279999999999196
BENIGN,2019,2,1,13,85,85,85,85,85,0.0009970000000000256,0.0009970000000000256
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0008270000000000222,0.0008270000000000222
BENIGN,2018,0,65,13,152,-1,-1,-1,-1,0.00016799999999994597,0.00016799999999994597
BENIGN,2017,2,1,73,85,85,85,85,85,0.01997799999999994,0.01997799999999994
